order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,source_x,late_delivery,latency_days,weekend,item_id,product_id,quantity,list_price_x,discount,source_x,EGP,list_price_egp,product_name,brand_id,category_id,model_year,source_y,timestamp
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Postgres,True,,True,1,20,1,599.99,0.2,Postgres,47.8741,28723.98,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,datalake,2024-04-30 07:52:07.921605
2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,Postgres,False,1.0,True,1,20,1,599.99,0.07,Postgres,47.8741,28723.98,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,datalake,2024-04-30 07:52:07.921605
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,Postgres,False,2.0,True,2,20,1,599.99,0.05,Postgres,47.8741,28723.98,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,datalake,2024-04-30 07:52:07.921605
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,Postgres,True,,True,3,20,2,599.99,0.1,Postgres,47.8741,28723.98,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,datalake,2024-04-30 07:52:07.921605
17,1175,4,2016-01-12,2016-01-14,2016-01-14,1,3,Postgres,True,,False,4,20,2,599.99,0.2,Postgres,47.8741,28723.98,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,datalake,2024-04-30 07:52:07.921605
35,813,4,2016-01-22,2016-01-25,2016-01-24,2,7,Postgres,False,1.0,True,2,20,2,599.99,0.05,Postgres,47.8741,28723.98,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,datalake,2024-04-30 07:52:07.921605
51,1047,4,2016-02-01,2016-02-02,2016-02-03,2,7,Postgres,True,,False,2,20,1,599.99,0.05,Postgres,47.8741,28723.98,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,datalake,2024-04-30 07:52:07.921605
56,1241,4,2016-02-04,2016-02-06,2016-02-07,2,6,Postgres,True,,True,1,20,2,599.99,0.07,Postgres,47.8741,28723.98,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,datalake,2024-04-30 07:52:07.921605
70,50,3,2016-02-11,2016-02-11,2016-02-12,3,9,Postgres,True,,False,3,20,1,599.99,0.05,Postgres,47.8741,28723.98,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,datalake,2024-04-30 07:52:07.921605
77,385,4,2016-02-16,2016-02-19,2016-02-19,1,2,Postgres,True,,False,1,20,1,599.99,0.07,Postgres,47.8741,28723.98,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,datalake,2024-04-30 07:52:07.921605
