order_id,item_id,product_id,quantity,list_price,discount,source,timesamp
1,1,20,1,599.99,0.2,Postgres,2024-05-02 01:02:30.140743
1,2,8,2,1799.99,0.07,Postgres,2024-05-02 01:02:30.140743
1,3,10,2,1549.0,0.05,Postgres,2024-05-02 01:02:30.140743
1,4,16,2,599.99,0.05,Postgres,2024-05-02 01:02:30.140743
1,5,4,1,2899.99,0.2,Postgres,2024-05-02 01:02:30.140743
2,1,20,1,599.99,0.07,Postgres,2024-05-02 01:02:30.140743
2,2,16,2,599.99,0.05,Postgres,2024-05-02 01:02:30.140743
3,1,3,1,999.99,0.05,Postgres,2024-05-02 01:02:30.140743
3,2,20,1,599.99,0.05,Postgres,2024-05-02 01:02:30.140743
4,1,2,2,749.99,0.1,Postgres,2024-05-02 01:02:30.140743
5,1,10,2,1549.0,0.05,Postgres,2024-05-02 01:02:30.140743
2,2,16,2,599.99,0.05,Postgres,2024-05-02 01:02:30.140743
3,1,3,1,999.99,0.05,Postgres,2024-05-02 01:02:30.140743
5,2,17,1,429.0,0.07,Postgres,2024-05-02 01:02:30.140743
5,3,26,1,599.99,0.07,Postgres,2024-05-02 01:02:30.140743
6,1,18,1,449.0,0.07,Postgres,2024-05-02 01:02:30.140743
6,2,12,2,549.99,0.05,Postgres,2024-05-02 01:02:30.140743
6,3,20,1,599.99,0.1,Postgres,2024-05-02 01:02:30.140743
6,4,3,2,999.99,0.07,Postgres,2024-05-02 01:02:30.140743
6,5,9,2,2999.99,0.07,Postgres,2024-05-02 01:02:30.140743
7,1,15,1,529.99,0.07,Postgres,2024-05-02 01:02:30.140743
7,2,3,1,999.99,0.1,Postgres,2024-05-02 01:02:30.140743
7,3,17,2,429.0,0.1,Postgres,2024-05-02 01:02:30.140743
6,5,9,2,2999.99,0.07,Postgres,2024-05-02 01:02:30.140743
7,1,15,1,529.99,0.07,Postgres,2024-05-02 01:02:30.140743
7,2,3,1,999.99,0.1,Postgres,2024-05-02 01:02:30.140743
7,3,17,2,429.0,0.1,Postgres,2024-05-02 01:02:30.140743
8,1,22,1,269.99,0.05,Postgres,2024-05-02 01:02:30.140743
8,2,20,2,599.99,0.07,Postgres,2024-05-02 01:02:30.140743
9,1,7,2,3999.99,0.1,Postgres,2024-05-02 01:02:30.140743
10,1,14,1,269.99,0.1,Postgres,2024-05-02 01:02:30.140743
