order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,source,timesamp
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Postgres,2024-04-30 07:25:43.343264
2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,Postgres,2024-04-30 07:25:43.343264
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,Postgres,2024-04-30 07:25:43.343264
4,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,Postgres,2024-04-30 07:25:43.343264
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,Postgres,2024-04-30 07:25:43.343264
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,Postgres,2024-04-30 07:25:43.343264
14,258,4,2016-01-09,2016-01-11,2016-01-12,1,3,Postgres,2024-04-30 07:25:43.343264
15,450,4,2016-01-09,2016-01-10,2016-01-12,2,7,Postgres,2024-04-30 07:25:43.343264
16,552,4,2016-01-12,2016-01-15,2016-01-15,1,3,Postgres,2024-04-30 07:25:43.343264
17,1175,4,2016-01-12,2016-01-14,2016-01-14,1,3,Postgres,2024-04-30 07:25:43.343264
18,541,4,2016-01-14,2016-01-17,2016-01-15,1,3,Postgres,2024-04-30 07:25:43.343264
19,696,4,2016-01-14,2016-01-17,2016-01-16,1,2,Postgres,2024-04-30 07:25:43.343264
20,923,4,2016-01-14,2016-01-16,2016-01-17,1,2,Postgres,2024-04-30 07:25:43.343264
21,1250,4,2016-01-15,2016-01-16,2016-01-18,2,6,Postgres,2024-04-30 07:25:43.343264
22,1035,4,2016-01-16,2016-01-18,2016-01-17,1,2,Postgres,2024-04-30 07:25:43.343264
23,1149,4,2016-01-16,2016-01-19,2016-01-19,1,2,Postgres,2024-04-30 07:25:43.343264
24,636,4,2016-01-18,2016-01-20,2016-01-19,2,7,Postgres,2024-04-30 07:25:43.343264
25,657,4,2016-01-18,2016-01-21,2016-01-21,2,6,Postgres,2024-04-30 07:25:43.343264
26,1280,4,2016-01-18,2016-01-21,2016-01-19,2,7,Postgres,2024-04-30 07:25:43.343264
27,57,4,2016-01-19,2016-01-21,2016-01-20,2,7,Postgres,2024-04-30 07:25:43.343264
28,252,4,2016-01-19,2016-01-20,2016-01-21,2,6,Postgres,2024-04-30 07:25:43.343264
29,437,4,2016-01-20,2016-01-22,2016-01-21,2,6,Postgres,2024-04-30 07:25:43.343264
30,1348,4,2016-01-20,2016-01-21,2016-01-21,2,6,Postgres,2024-04-30 07:25:43.343264
31,1238,4,2016-01-20,2016-01-22,2016-01-22,3,8,Postgres,2024-04-30 07:25:43.343264
32,1259,4,2016-01-21,2016-01-24,2016-01-22,1,3,Postgres,2024-04-30 07:25:43.343264
33,236,4,2016-01-21,2016-01-22,2016-01-22,2,6,Postgres,2024-04-30 07:25:43.343264
34,80,4,2016-01-22,2016-01-25,2016-01-23,2,6,Postgres,2024-04-30 07:25:43.343264
35,813,4,2016-01-22,2016-01-25,2016-01-24,2,7,Postgres,2024-04-30 07:25:43.343264
36,1321,4,2016-01-23,2016-01-24,2016-01-24,2,6,Postgres,2024-04-30 07:25:43.343264
37,164,4,2016-01-25,2016-01-28,2016-01-26,2,6,Postgres,2024-04-30 07:25:43.343264
